scope,prompting_configuration,model,category,N,CV,ES,EM,SE,SE_binary_rate,RQ,gen_time_ms_median,gen_time_ms_mean
per_model_x_config,DKB+Hybrid,qwen2.5-coder:32b,ALL,150,0.9733,0.8533,0.0,0.6467,0.3067,0.8033,10397.8,10665.8
per_model_x_config,DKB+Hybrid,qwen2.5:72b,ALL,150,0.9067,0.88,0.0,0.6136,0.1867,0.8267,11351.7,13618.5
per_model_x_config,FT Text2Cypher,text2cypher-gemma2-9b,ALL,150,0.6133,0.58,0.0,0.0,0.0,0.14,16011.0,19974.6
pooled_x_config,Baseline,POOLED(4 LLM),ALL,600,0.01,0.6517,0.0,0.0,0.0,0.1558,6569.7,9493.5
pooled_x_config,Schema Baseline,POOLED(4 LLM),ALL,600,0.565,0.5083,0.0,0.001,0.0,0.1483,8764.9,9180.1
pooled_x_config,Schema+Values,POOLED(4 LLM),ALL,600,0.7183,0.495,0.0,0.0703,0.035,0.2142,10821.8,12692.9
pooled_x_config,DKB-NoExamples,POOLED(4 LLM),ALL,600,0.8,0.6967,0.0,0.2149,0.075,0.3067,10424.5,13024.1
pooled_x_config,DKB,POOLED(4 LLM),ALL,600,0.7567,0.67,0.0,0.3282,0.0767,0.4842,9293.1,10327.6
pooled_x_config,DKB+Hybrid,POOLED(4 LLM),ALL,600,0.82,0.725,0.0,0.4161,0.1517,0.6367,8303.1,9220.1
pooled_x_config,FT Text2Cypher,POOLED(4 LLM),ALL,150,0.6133,0.58,0.0,0.0,0.0,0.14,16011.0,19974.6
